Average,Species_PM,Species_LJ.M,Subfamily,Tribe.Roxo,Tribe.Lujan,Figure,Color,In Roxo.PM,In Roxo,In Lujan,Diet.Primary,diet.col,Substrate,Substrate.2,Substrate.old,sub.col,Flow,flow.col,Water,Location,Durophage,Vegetation
Baryancistrus_xanthellus,Baryancistrus_xanthellus,Baryancistrus_xanthellus,Hypostominae,Hemiancistrus Clade,Ancistrini,B. xan,#004949,1,1,1,ominvore,#920000,large,rock,boulder,#006ddb,fast,#b6bdff,clear,shield,no,none
Chaetostoma_milesi,Chaetostoma_milesi,Chaetostoma_milesi,Hypostominae,Chaetostoma Clade,Ancistrini,C. mil,#004949,1,1,0,ominvore,#920000,med,rock,cobbles,#b6dbff,fast,#b6bdff,clear,piedmont,no,none
Cordylancistrus_torbesensis,Cordylancistrus_torbesensis,Cordylancistrus_torbesensis,Hypostominae,,Ancistrini,C. tor,#004949,0,0,1,,,,,,,,,,,,
Dekeyseria_pulchra,Dekeyseria_pulchra,Dekeyseria_pulchra,Hypostominae,,Ancistrini,D. pul,#004949,0,0,1,,,,,,,,,,,,
Dentectus_barbarmatus,Dentectus_barbarmatus,Dentectus_barbarmatus,Loricariinae,,Loricariini,D. bar,#009292,0,0,0,,,,,,,,,,,,
Farlowella_acus,Farlowella_acus,Farlowella_acus,Loricariinae,Farlowellina,Harttiini,F. acu,#009292,1,1,1,herbivore,#009292,small,sand,sand,#ffff6d,fast,#b6bdff,white,piedmont,no,wood
Gymnotocinclus_anosteos,Gymnotocinclus_anosteos,Gymnotocinclus_anosteos,Hypoptopomatinae,Corumbataia Clade,uncertain,G. ano,#ffb677,1,1,0,herbivore,#009292,organic,rock,rocks.wood,#009292,fast,#b6bdff,clear,shield,no,green
Harttia_loricariformis,Harttia_loricariformis,Harttia_loricariformis,Loricariinae,Harttiini,Harttiini,H. lor,#009292,1,1,1,herbivore,#009292,large,rock,bedrock.cobble,#006ddb,fast,#b6bdff,clear,shield,no,none
Harttiella_longicauda,Harttiella_longicauda,Harttiella_longicauda,Loricariinae,,Harttiini,H. lon,#009292,0,0,0,,,,,,,,,,,,
Hemiodontichthys_acipenserinus,NA,Hemiodontichthys_acipenserinus,Loricariinae,,Loricariini,H. aci,#009292,0,0,0,,,,,,,,,,,,
Hirtella_carinata,Hirtella_carinata,Hirtella_carinata,Neoplecostominae,,,H. car,#ff6db6,0,0,0,,,,,,,,,,,,
Hisonotus_maculipinnis,Hisonotus_maculipinnis,Hisonotus_maculipinnis,Hypoptopomatinae,Hisonotini,Otothyrini,H. mac,#ffb677,1,1,1,herbivore,#009292,organic,rock,plants.wood,#009292,fast,#b6bdff,clear,piedmont,no,green
Hypancistrus_zebra,Hypancistrus_zebra,Hypancistrus_zebra,Hypostominae,Peckoltia Clade,Ancistrini,H. zeb,#004949,1,1,1,ominvore,#920000,large,rock,bedrock.cobble,#006ddb,fast,#b6bdff,clear,shield,yes,none
Hypoptopoma_spectabile,Hypoptopoma_spectabile,Hypoptopoma_spectabile,Hypoptopomatinae,Hypoptopomatini,Hypoptopomatini,H. spe,#ffb677,1,1,1,herbivore,#009292,organic,mud,plants.wood,#009292,slow,#490092,white,lowlands,no,wood
